date,通常物数
2024/10/1,43000
2024/10/2,51000
2024/10/3,54000
2024/10/4,56000
2024/10/5,0
2024/10/6,0
2024/10/7,92000
2024/10/8,37000
2024/10/9,41000
2024/10/10,45000
2024/10/11,52000
2024/10/12,0
2024/10/13,0
2024/10/14,0
2024/10/15,132000
2024/10/16,29000
2024/10/17,47000
2024/10/18,43000
2024/10/19,0
2024/10/20,0
2024/10/21,88000
2024/10/22,39000
2024/10/23,45000
2024/10/24,45000
2024/10/25,50000
2024/10/26,0
2024/10/27,0
2024/10/28,86000
2024/10/29,41000
2024/10/30,46000
2024/10/31,45000
2024/11/1,49000
2024/11/2,0
2024/11/3,0
2024/11/4,0
2024/11/5,142000
2024/11/6,28000
2024/11/7,43000
2024/11/8,43000
2024/11/9,0
2024/11/10,0
2024/11/11,87000
2024/11/12,44000
2024/11/13,45000
2024/11/14,47000
2024/11/15,46000
2024/11/16,0
2024/11/17,0
2024/11/18,90000
2024/11/19,43000
2024/11/20,43000
2024/11/21,45000
2024/11/22,51000
2024/11/23,0
2024/11/24,0
2024/11/25,84000
2024/11/26,43000
2024/11/27,50000
2024/11/28,51000
2024/11/29,49000
2024/11/30,0
2024/12/1,0
2024/12/2,86000
2024/12/3,43000
2024/12/4,42000
2024/12/5,48000
2024/12/6,45000
2024/12/7,0
2024/12/8,0
2024/12/9,81000
2024/12/10,44000
2024/12/11,45000
2024/12/12,47000
2024/12/13,45000
2024/12/14,0
2024/12/15,0
2024/12/16,85000
2024/12/17,40000
2024/12/18,37000
2024/12/19,45000
2024/12/20,50000
2024/12/21,0
2024/12/22,0
2024/12/23,75000
2024/12/24,40000
2024/12/25,43000
2024/12/26,47000
2024/12/27,46000
2024/12/28,0
2024/12/29,0
2024/12/30,75000
2024/12/31,40000
2025/1/1,20000
2025/1/2,0
2025/1/3,33000
2025/1/4,0
2025/1/5,0
2025/1/6,35000
2025/1/7,24000
2025/1/8,35000
2025/1/9,33000
2025/1/10,39000
2025/1/11,0
2025/1/12,0
2025/1/13,0
2025/1/14,87000
2025/1/15,23000
2025/1/16,36000
2025/1/17,40000
2025/1/18,0
2025/1/19,0
2025/1/20,79000
2025/1/21,28000
2025/1/22,33000
2025/1/23,37000
2025/1/24,36000
2025/1/25,0
2025/1/26,0
2025/1/27,80000
2025/1/28,29000
2025/1/29,33000
2025/1/30,40000
2025/1/31,41000
2025/2/1,0
2025/2/2,0
2025/2/3,84000
2025/2/4,25000
2025/2/5,32000
2025/2/6,33000
2025/2/7,38000
2025/2/8,0
2025/2/9,0
2025/2/10,79000
2025/2/11,0
2025/2/12,58000
2025/2/13,25000
2025/2/14,36000
2025/2/15,0
2025/2/16,0
2025/2/17,79000
2025/2/18,30000
2025/2/19,37000
2025/2/20,37000
2025/2/21,43000
2025/2/22,0
2025/2/23,0
2025/2/24,0
2025/2/25,95000
2025/2/26,25000
2025/2/27,33000
2025/2/28,39000
2025/3/1,0
2025/3/2,0
2025/3/3,86000
2025/3/4,27000
2025/3/5,33000
2025/3/6,40000
2025/3/7,42000
2025/3/8,0
2025/3/9,0
2025/3/10,82000
2025/3/11,29000
2025/3/12,34000
2025/3/13,38000
2025/3/14,38000
2025/3/15,0
2025/3/16,0
2025/3/17,90000
2025/3/18,26000
2025/3/19,36000
2025/3/20,42000
2025/3/21,40000
2025/3/22,0
2025/3/23,0
2025/3/24,81000
2025/3/25,27000
2025/3/26,36000
2025/3/27,39000
2025/3/28,45000
2025/3/29,0
2025/3/30,0
2025/3/31,87000
2025/4/1,29000
2025/4/2,35000
2025/4/3,38000
2025/4/4,39000
2025/4/5,0
2025/4/6,0
2025/4/7,84000
2025/4/8,35000
2025/4/9,40000
2025/4/10,43000
2025/4/11,44000
2025/4/12,0
2025/4/13,0
2025/4/14,76000
2025/4/15,28000
2025/4/16,29000
2025/4/17,36000
2025/4/18,35000
2025/4/19,0
2025/4/20,0
2025/4/21,80000
2025/4/22,27000
2025/4/23,35000
2025/4/24,34000
2025/4/25,45000
2025/4/26,0
2025/4/27,0
2025/4/28,86000
2025/4/29,0
2025/4/30,62000
2025/5/1,25000
2025/5/2,35000
2025/5/3,0
2025/5/4,0
2025/5/5,0
2025/5/6,0
2025/5/7,100000
2025/5/8,32000
2025/5/9,35000
2025/5/10,0
2025/5/11,0
2025/5/12,76000
2025/5/13,32000
2025/5/14,36000
2025/5/15,38000
2025/5/16,41000
2025/5/17,0
2025/5/18,0
2025/5/19,86000
2025/5/20,28000
2025/5/21,29000
2025/5/22,36000
2025/5/23,37000
2025/5/24,0
2025/5/25,0
2025/5/26,75000
2025/5/27,29000
2025/5/28,32000
2025/5/29,36000
2025/5/30,40000
2025/5/31,0
2025/6/1,0
2025/6/2,94000
2025/6/3,51000
2025/6/4,52000
2025/6/5,63000
2025/6/6,65000
2025/6/7,0
2025/6/8,0
2025/6/9,100000
2025/6/10,52000
2025/6/11,57000
2025/6/12,63000
2025/6/13,63000
2025/6/14,0
2025/6/15,0
2025/6/16,92000
2025/6/17,47000
2025/6/18,56000
2025/6/19,58000
2025/6/20,59000
2025/6/21,0
2025/6/22,0
2025/6/23,87000
2025/6/24,55000
2025/6/25,53000
2025/6/26,61000
2025/6/27,60000
2025/6/28,0
2025/6/29,0
2025/6/30,88000
2025/7/1,56000
2025/7/2,60000
2025/7/3,59000
2025/7/4,63000
2025/7/5,0
2025/7/6,0
2025/7/7,83000
2025/7/8,44000
2025/7/9,46000
2025/7/10,52000
2025/7/11,50000
2025/7/12,0
2025/7/13,0
2025/7/14,79000
2025/7/15,39000
2025/7/16,43000
2025/7/17,45000
2025/7/18,51000
2025/7/19,0
2025/7/20,0
2025/7/21,0
2025/7/22,112000
2025/7/23,20000
2025/7/24,36000
2025/7/25,47000
2025/7/26,0
2025/7/27,0
2025/7/28,85000
2025/7/29,33000
2025/7/30,45000
2025/7/31,52000
2025/8/1,55000
2025/8/2,0
2025/8/3,0
2025/8/4,82000
2025/8/5,35000
2025/8/6,38000
2025/8/7,41000
2025/8/8,49000
2025/8/9,0
2025/8/10,0
2025/8/11,0
2025/8/12,106000
2025/8/13,18000
2025/8/14,25000
2025/8/15,26000
2025/8/16,0
2025/8/17,0
2025/8/18,68000
2025/8/19,30000
2025/8/20,45000
2025/8/21,55000
2025/8/22,53000
2025/8/23,0
2025/8/24,0
2025/8/25,90000
2025/8/26,37000
2025/8/27,41000
2025/8/28,45000
2025/8/29,50000
2025/8/30,0
2025/8/31,0
